"TIME","GEO","DURATION","PURPOSE","DEST","TINFO","UNIT","Value","Flag and Footnotes"
"2008Q3","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","61,154",""
"2008Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","27,456",""
"2008Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2008Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2008Q4","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","38,024",""
"2008Q4","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","17,547",""
"2008Q4","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","2,386",""
"2008Q4","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2008Q4","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","98,222",""
"2008Q4","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","17,482",""
"2008Q4","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","43,240",""
"2008Q4","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","33,317",""
"2008Q4","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","7,807",""
"2008Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","3,604",""
"2008Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2008Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":","u"
"2008Q4","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","95,800",""
"2008Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","35,152",""
"2008Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","21,190",""
"2008Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","9,172",""
"2009Q1","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","36,622",""
"2009Q1","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","17,762",""
"2009Q1","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2009Q1","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2009Q1","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","90,638",""
"2009Q1","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","27,808",""
"2009Q1","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","26,063",""
"2009Q1","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","16,123",""
"2009Q1","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","6,665",""
